E_c	E^2*J	sig
(GeV)	GeV(cm^2 s sr)^-1
3.3649e-01 5.8393e-07 3.2857e-07
4.2356e-01 8.9821e-07 3.0358e-07
5.3174e-01 2.0357e-06 2.9822e-07
6.7113e-01 2.0786e-06 3.0000e-07
8.4480e-01 3.3857e-06 3.0893e-07
1.0648e+00 3.0786e-06 3.0357e-07
1.3368e+00 3.8804e-06 3.1785e-07
1.6849e+00 3.3196e-06 3.3036e-07
2.1238e+00 3.7536e-06 3.4286e-07
2.6770e+00 3.3018e-06 3.6250e-07
3.3607e+00 3.0482e-06 3.6965e-07
4.2359e+00 3.5357e-06 3.9643e-07
5.3320e+00 2.2357e-06 4.1965e-07
6.7208e+00 6.8750e-07 4.0000e-07
8.4712e+00 1.8411e-06 4.5000e-07
1.0635e+01 1.3107e-06 4.6965e-07
1.3405e+01 8.8036e-07 4.8928e-07
1.6896e+01 3.5536e-07 4.6429e-07
2.1297e+01 1.4054e-06 5.0178e-07
2.6736e+01 1.0018e-06 5.2678e-07
3.3699e+01 -5.0357e-07 4.8036e-07
4.2419e+01 4.4286e-07 5.6607e-07
