abs(l) < 23.1 deg
b   deltab  flux (cm2/s/sr) uncert
-7.502e+01 1.498e+01 8.985e-03 5.735e-03
-4.491e+01 1.491e+01 9.975e-03 3.465e-03
-2.727e+01 2.526e+00 2.094e-02 8.775e-03
-2.208e+01 2.595e+00 9.055e-03 8.205e-03
-1.706e+01 2.353e+00 6.580e-03 6.440e-03
-1.291e+01 1.176e+00 1.514e-02 1.189e-02
-1.042e+01 1.246e+00 3.842e-02 1.182e-02
-7.855e+00 1.176e+00 1.606e-02 1.069e-02
-5.260e+00 1.142e+00 1.656e-02 1.061e-02
-2.561e+00 1.211e+00 2.731e-02 1.047e-02
0.000e+00 1.211e+00 7.054e-02 1.111e-02
2.595e+00 1.246e+00 3.390e-02 1.083e-02
5.225e+00 1.176e+00 2.979e-02 1.054e-02
7.612e+00 1.003e+00 8.985e-03 1.083e-02
1.038e+01 1.211e+00 2.080e-02 1.104e-02
1.294e+01 1.211e+00 2.342e-02 1.153e-02
1.689e+01 2.595e+00 9.905e-03 6.655e-03
2.197e+01 2.561e+00 2.125e-03 7.785e-03
2.723e+01 2.491e+00 1.493e-02 7.570e-03
4.491e+01 1.484e+01 9.765e-03 2.685e-03
7.505e+01 1.495e+01 4.885e-03 2.475e-03
