abs(l) < 60 deg
b   deltab  flux (cm2/s/sr) uncert
-7.507e+01 1.493e+01 9.400e-04 3.730e-03
-4.496e+01 1.482e+01 4.305e-03 2.235e-03
-2.715e+01 2.641e+00 2.875e-03 5.965e-03
-2.176e+01 2.676e+00 6.110e-03 6.180e-03
-1.634e+01 2.606e+00 3.645e-03 4.635e-03
-1.092e+01 2.606e+00 4.155e-03 3.895e-03
-5.423e+00 2.606e+00 7.725e-03 3.875e-03
0.000e+00 2.606e+00 6.885e-03 3.565e-03
5.458e+00 2.641e+00 7.755e-03 3.945e-03
1.095e+01 2.641e+00 8.675e-03 3.945e-03
1.644e+01 2.430e+00 1.560e-03 4.550e-03
2.176e+01 2.676e+00 8.035e-03 5.735e-03
2.711e+01 2.746e+00 1.035e-03 5.575e-03
4.500e+01 1.486e+01 3.120e-03 1.810e-03
7.504e+01 1.496e+01 3.750e-04 1.725e-03
